comment_id,proposal_id,user_id,content,created_at
1,1,17,Maravilhoso menos custos para ambos agora precisa só diminuir o IPVA e o imposto nos combustíveis,2026-03-27 00:51:56.407085
2,1,130,Kkkkkkkl,2025-06-28 05:12:33.182118
3,1,117,Glória há Deus,2025-06-26 07:49:55.193553
4,1,460,"Parabéns ao presidente Lula, ajudando o povo brasileiro a conquistar tão sonhada habilitação, o povo brasileiro não aguenta mais pagar milhões na auto escola, paga aulas e mais aulas vivem em auto escolas e no dia os examinadores do Detran aqui de Minas Gerais reprovam, o povo paga mais aulas avulsas vai novamente pra banca e os bonitinhos pilantras dos examinadores de mg reprovam, a pauta vence e os pobres trabalhadores q já não tem a onde tirar mais dinheiro por já foi 10 mil para tirar habilitação, aí o povo se vê sem saída deixa de pagar as contas básicas para fazer todo processo de habilitação novamente, pra novamente essa máfia do Detran junto com os examinadores reprovarem e o povo precisando da carteira por necessidade as vezes levar os pais ao médico, crianças, empregos, e os pilantras dos examinadores reprovarem ,parabéns governo Lula ajuda o povo brasileiro mesmo.",2025-06-10 19:54:58.017758
5,1,112,"Mais outras pessoas falam que vão aumentar os acidentes, mais quem não sabe andar de carro não passa na prova prática pois e difícil passar nas provas praticas!!",2025-11-13 23:44:44.493824
6,1,45,e precisou chegar ate 2026 pra deixar isso mais barato ?,2025-07-05 03:36:52.216581
7,1,534,Mas quem tá na fase do teste? Para fazer o resteste precisa da auto escola? Isso não ficou claro. Vou ter que ir até a sede do Detran pra saber,2026-01-25 00:27:27.854975
8,1,32,E o Duda tá lá 400 contos para pagar,2026-05-20 08:45:04.015595
9,1,412,Quem está no processo da CNH pega essa nova lei ?,2025-11-26 07:33:30.501926
10,1,503,É Lula 2026,2025-07-12 06:14:04.142195
11,1,76,"Mas terá mas acidentes se não for pelo carro da auto escola, pois o carro particular não tem pedal para o prof q está ensinando. Logo ficará mas perigoso, então eu prefiro o carro da auto escola que tem os pedais de freio.",2025-04-13 18:01:45.365303
12,1,152,OS ALUNOS PODERAM FAZER ÀS POUCAS AULAS EM CARRO AUTOMÁTICO !!? SEI NÃO HEM,2026-05-18 00:55:01.364707
13,1,600,Excelente noticia e também uma bela cortina de fumaça para a roubalheira do BANCO MASTER. Mais um escandalo de corrupção no Governo Lula. Não vamos deixar passar. Não vamos nos esquecer.,2025-09-28 20:05:39.963048
14,1,391,Já dificuldade para tira habilitação fazendo auto escola. Sem auto escola vai se mais difícil tira Habilitação . Vai te muito gente reprovando auto escola ensina como dirigir e como passa na prova do DETRAN,2025-02-27 01:45:33.547042
15,1,302,Finalmente acabou esse Negócio de espera um ano pra pegar a habilitação indifinitiva,2025-11-13 04:05:15.214389
16,1,441,Louvado seja Deus,2026-05-01 23:50:39.856336
17,1,118,"Não sou de esquerda, mas isso foi um grande avanço.",2025-05-06 00:17:40.891380
18,1,565,Vale para moto? se nao nem adianta,2025-07-08 05:13:27.545175
19,1,441,Foi a melhor decisão que o governo teve,2025-11-14 04:55:28.869827
