tema,video_id,comentario,likes,autor,fonte
Novas regras CNH,UZpv03WjizA,Maravilhoso menos custos para ambos agora precisa só diminuir o IPVA e o imposto nos combustíveis 😅,0,@boraviajar1447,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Kkkkkkkl,0,@NeyAndre-z2p,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Glória há Deus,0,@queziacostasouza3393,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"Parabéns ao presidente Lula, ajudando o povo brasileiro a conquistar tão sonhada habilitação,  o povo brasileiro não aguenta mais pagar milhões na auto escola,  paga aulas e mais aulas vivem em auto escolas e no dia os examinadores do Detran aqui de Minas Gerais reprovam, o povo paga mais aulas avulsas vai novamente pra banca e os bonitinhos pilantras dos examinadores de mg reprovam, a pauta vence e os pobres trabalhadores q já não tem a onde tirar mais dinheiro por já foi 10 mil para tirar habilitação, aí o povo se vê  sem saída deixa de pagar as contas básicas para fazer todo processo de habilitação novamente,  pra novamente essa máfia do Detran junto com os examinadores reprovarem e o povo precisando da carteira por necessidade as vezes levar os pais ao médico, crianças, empregos,  e os pilantras dos examinadores reprovarem ,parabéns governo Lula ajuda o povo brasileiro mesmo.",0,@Luciana5776,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"Mais outras pessoas falam que vão aumentar os acidentes, mais quem não sabe andar de carro não passa na prova prática pois e difícil passar nas provas praticas!!",0,@Dudu-uf8vv,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,e precisou chegar ate 2026 pra deixar isso mais barato ?,0,@danielandreytamamanini,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Mas quem tá na fase do teste? Para fazer o resteste precisa da auto escola? Isso não ficou claro. Vou ter que ir até a sede do Detran pra saber,0,@karlap123,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,E o Duda tá lá 400 contos para pagar,0,@Leossj1,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Quem está no processo da CNH pega essa nova lei ?,0,@karenrosario3424,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,É Lula 2026🎉🥳🎉🎉🎊🥳🎊🎊,0,@danielsouzafigueiredo4041,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"Mas terá mas acidentes  se não for pelo carro da auto escola, pois o carro particular não tem pedal para o prof q está ensinando. Logo ficará mas perigoso, então eu prefiro o carro da auto escola que tem os pedais de freio.",0,@elaineanacleto932,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,OS ALUNOS PODERAM FAZER ÀS POUCAS AULAS EM CARRO AUTOMÁTICO 😮!!? SEI NÃO HEM,0,@erickalmeida3310,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Excelente noticia e também uma bela cortina de fumaça para a roubalheira do BANCO MASTER. Mais um escandalo de corrupção no Governo Lula. Não vamos deixar passar. Não vamos nos esquecer.,0,@emilainetomaz5112,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Já dificuldade para tira habilitação fazendo auto escola. Sem auto escola vai se mais difícil tira Habilitação . Vai te muito gente reprovando auto escola ensina como dirigir e como passa na prova do DETRAN,0,@AlexSilva-l1w,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Finalmente acabou esse Negócio de espera um ano pra pegar a habilitação indifinitiva 🙏💪,0,@matheuscastro5842,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Louvado seja Deus ❤,0,@_lidiamacedo_,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"Não sou de esquerda, mas isso foi um grande avanço.",0,@GabrielAlmeida-j8j,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Vale para moto? se nao nem adianta😂🎉,0,@gabrielsyllwa,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Foi a melhor decisão que o governo teve,0,@Fernanda-j9q5b,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Agora acabou a máfia das auto escolas.. pô cara 3k pra tu tirar carteira de carro e moto .. absurdo demais,0,@yagosouza78,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Kkkkkkk,0,@NeyAndre-z2p,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Eduardo Costa de Lula,0,@NeyAndre-z2p,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"gente aprendendo com parentes ou amigos sempre existiu, tirando outros países que utilizam esse método desde sempre.... mas se viu algum lugar ou país que teve um número considerável de acidente por esse motivo, mande aí",0,@robertosilveira9588,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"sim, pode",0,@robertosilveira9588,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"ué, o banco do é do governo? novidade essa kkkkkkk",0,@marciooliveira6713,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"sim, e pra passar precisa.... dirigir direito, o que não se aprende só auto escola",0,@marciooliveira6713,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,esse ainda vai ter,0,@AlanSantos-x7g,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"sim, vale pra A e B",0,@AlanSantos-x7g,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Mais uma mentira do governo,0,@JoãopedroDePaula-q3l,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,Mas ainda vai precisar fazer aula com a auto escola então não faz sentido,0,@juannascimento3369,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"Agradeçam ao kim kataguiri , se dependesse desse governo a mafia continuaria por mais uns 20 anos",0,@itt8227,https://www.youtube.com/watch?v=UZpv03WjizA
Novas regras CNH,UZpv03WjizA,"Se a pessoa saber tudo,tenque tirar a carteira no mesmo dia",0,@ThiagoGabrecht,https://www.youtube.com/watch?v=UZpv03WjizA
